"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type","is_converted"
"","","","","","","","","","","
Step Description:
Click Ok
Go to the cart and check the products
Expected Result:
Product_1 was not added to the cart.","","Product_1 was not added to the cart.","","Click Ok
Go to the cart and check the products","",""
"C410440","Reorder all > Not added > Visible = false","","","Medium","Reorder all","1","","Orders (Desktop+Mobile) > Reorder all","","Step Description:
Click button Reorder all
Check the Popup
Expected Result:
The product_1 is shown in the section Not added


  
","","The product_1 is shown in the section Not added


  
","","Click button Reorder all
Check the Popup","Other","0"
"","","","","","","","","","","
Step Description:
Click Ok
Go to the cart and check the products
Expected Result:
Product_1 was not added to the cart.","","Product_1 was not added to the cart.","","Click Ok
Go to the cart and check the products","",""
"C410441","Reorder all > Not added > Limit quantity","","","Medium","Reorder all","1","","Orders (Desktop+Mobile) > Reorder all","","Step Description:
Click button Reorder all
Check the Popup
Expected Result:
The product_1 is shown in the Section Not added


","","The product_1 is shown in the Section Not added


","","Click button Reorder all
Check the Popup","Other","0"
"","","","","","","","","","","
Step Description:
Click Ok
Go to the cart and check the products
Expected Result:
Product_1 was not added to the cart.","","Product_1 was not added to the cart.","","Click Ok
Go to the cart and check the products","",""
"C410924","Verify 'Agency' and 'Personal' Tabs Are Visible for Company Owner","","Both tabs should be visible only for company owners.","High","Permissions","2","","Orders (Desktop+Mobile) > Company Orders > Permissions","1. Navigate to the Orders page.
2. Check if both 'Agency' and 'Personal' tabs are displayed.","","","","","","Functional","0"
"C410925","Verify 'All orders' and 'My orders' Tabs Are Not Visible for Regular Users","","Regular users should not see 'All orders' and 'My orders' tabs.","High","Permissions","2","","Orders (Desktop+Mobile) > Company Orders > Permissions","1. Navigate to the Orders page.
2. Check if 'All orders' and 'My orders' tabs are displayed.","","","","","","Functional","0"
"C410926","Verify Order Access Based on User Role","","Company owners should see all orders, while regular users should see only their own.","High","Permissions","2","","Orders (Desktop+Mobile) > Company Orders > Permissions","1. Log in as a company owner.
2. Verify that both personal and agency orders are accessible.
3. Log in as a regular user.
4. Verify that only personal orders are visible.","","","","","","Functional","0"
"C410915","Verify 'Buyer Name' Column is Displayed","","<p>The 'Buyer Name' column should be visible and display correct names.</p>
","High","Order History","2","","Orders (Desktop+Mobile) > Company Orders > Order History","<ol>
<li>Go to the Orders page.</li>
<li>Look at the order list table.</li>
<li>Check for the presence of the 'Buyer Name' column.</li>
</ol>
","","","","","","Functional","1"
"C410916","Verify 'All Orders' Tab Displays Orders","","<p>Orders should be visible under 'All orders' and include historical users.</p>
","High","Order History","2","","Orders (Desktop+Mobile) > Company Orders > Order History","<ol>
<li>Go to the Orders page.</li>
<li>Select the 'All orders' tab.</li>
<li>Verify all organization users' orders are listed.</li>
</ol>
","","","","","","Functional","1"
"C410917","Verify Filters Panel Opens","","<p>Filters panel should appear with options for Create Date, Buyer name, Order Status, etc.</p>
","Medium","Filters","2","","Orders (Desktop+Mobile) > Company Orders > Filters","<ol>
<li>Click on the 'Filters' button.</li>
<li>Verify the filter panel appears.</li>
</ol>
","","","","","","Functional","1"
"C410918","Verify Orders are Filtered by Date","","<p>Only orders within the selected date range should be displayed.</p>
","High","Filters","2","","Orders (Desktop+Mobile) > Company Orders > Filters","<ol>
<li>Open Filters panel.</li>
<li>Select a Start Date and End Date.</li>
<li>Click Apply and check the results.</li>
</ol>
","","","","","","Functional","1"
"C410919","Verify Search Field is Present","","<p>Search field should be visible and allow input.</p>
","Medium","Search","2","","Orders (Desktop+Mobile) > Company Orders > Search","<ol>
<li>Look for the search input field at the top of the Orders page.</li>
</ol>
","","","","","","Functional","1"
"C410920","Verify Searching by Order Number","","<p>Only the order with the matching number should be displayed.</p>
","High","Search","2","","Orders (Desktop+Mobile) > Company Orders > Search","<ol>
<li>Enter an existing order number in the search field.</li>
<li>Press Enter or click the search button.</li>
</ol>
","","","","","","Functional","1"
"C410921","Verify Searching by Buyer Name","","<p>Only orders matching the buyer name should be displayed.</p>
","High","Search","2","","Orders (Desktop+Mobile) > Company Orders > Search","<ol>
<li>Click on filter > Buyer name > Select multiple members</li>
<li>Press Apply button.</li>
</ol>
","","","","","","Functional","1"
"C410922","Verify Pagination Appears","","Pagination should be available when more than 10 orders exist.","Medium","Pagination","2","","Orders (Desktop+Mobile) > Company Orders > Pagination","1. Navigate to the Orders page.
2. Check if pagination controls are visible.","","","","","","Functional","0"
"C410923","Verify Navigation Between Pages","","Orders list should update correctly when moving between pages.","High","Pagination","2","","Orders (Desktop+Mobile) > Company Orders > Pagination","1. Click on Next Page.
2. Verify the next set of orders is displayed.
3. Click on Previous Page and verify the previous orders return.","","","","","","Functional","0"
"C410484","Icon is grey > Add product anonymously","","","Medium","Add/remove product to the List from category page","0","","Add/remove product to the List from category page","","Step Description:
1. Open any Category
2. Click on the Add to list icon


Expected Result:
1. The button is inactive. 
2. For anonymous users this functionality is unavailable.

","","1. The button is inactive. 
2. For anonymous users this functionality is unavailable.

","","1. Open any Category
2. Click on the Add to list icon

","Automated","0"
"C410485","Colored icon > Add product to existing wish list","","","Medium","Add/remove product to the List from category page","0","","Add/remove product to the List from category page","","Step Description:
Go to the category page
Select one product with a grey icon

Expected Result:
1. The product is not in any wish-lists","","1. The product is not in any wish-lists","","Go to the category page
Select one product with a grey icon
","Automated","0"
"","","","","","","","","","","
Step Description:
Go back to category page, 
Add this product to one/two of the wish lists by clicking the icon
Expected Result:
The icon (after adding) shall be re-colored from grey to color","","The icon (after adding) shall be re-colored from grey to color","","Go back to category page, 
Add this product to one/two of the wish lists by clicking the icon","",""
"C410486","Colored icon  > Add product to the wish list from Grid view","","","Medium","Add/remove product to the List from category page","0","","Add/remove product to the List from category page","","Step Description:
1. Go to a category page > Grid view
2. Click the icon
3. On pop-up select List_1


Expected Result:
1. Pop-up Item added Product_1 to the list_1
2. List_1  moved to the 1st block.
3. Check-box for the List_1 selected","","1. Pop-up Item added Product_1 to the list_1
2. List_1  moved to the 1st block.
3. Check-box for the List_1 selected","","1. Go to a category page > Grid view
2. Click the icon
3. On pop-up select List_1

","Automated","0"
"","","","","","","","","","","
Step Description:
1. Click button Save
Expected Result:
1. Popup has closed
2. Notification info that the lists was successfully update","","1. Popup has closed
2. Notification info that the lists was successfully update","","1. Click button Save","",""
"","","","","","","","","","","
Step Description:
Switch to the List view
Check the state of the star


Expected Result:
The Star is also orange in the List view
The product is on the wish list","","The Star is also orange in the List view
The product is on the wish list","","Switch to the List view
Check the state of the star

","",""
"C410487","Colored icon > Add product to the wish list from List view","","","Medium","Add/remove product to the List from category page","0","","Add/remove product to the List from category page","","Step Description:
1. Go to a category page > List view
2. Click on the icon Add to the list


Expected Result:
1. Pop-up Item added Product_1 to the list_1
2. List_1  moved to the 1st block.
3. Check-box for the List_1 selected","","1. Pop-up Item added Product_1 to the list_1
2. List_1  moved to the 1st block.
3. Check-box for the List_1 selected","","1. Go to a category page > List view
2. Click on the icon Add to the list

","Automated","0"
"","","","","","","","","","","
Step Description:
1. Click button Save
Expected Result:
1. Popup has closed
2. The heart icon became color
3. Notification info that the lists were successfully updated","","1. Popup has closed
2. The heart icon became color
3. Notification info that the lists were successfully updated","","1. Click button Save","",""
"","","","","","","","","","","
Step Description:
Switch to Grid view
Check the state of the heart icon
Expected Result:
The star is also color in the Grid view
The product is in wish list","","The star is also color in the Grid view
The product is in wish list","","Switch to Grid view
Check the state of the heart icon","",""
"C410488","Icon is grey > Remove the product from the wish list in the Grid view","","","Medium","Add/remove product to the List from category page","0","","Add/remove product to the List from category page","","Step Description:
1. Go to category page > Grid view
2. Click the colored Heart
3. On the popup uncheck List_1 from the 1st block


Expected Result:
1. List_1  moved to the 2nd block.
2. Check-box for the List_1 is unselected
3. The icon is grey","","1. List_1  moved to the 2nd block.
2. Check-box for the List_1 is unselected
3. The icon is grey","","1. Go to category page > Grid view
2. Click the colored Heart
3. On the popup uncheck List_1 from the 1st block

","Automated","0"
"","","","","","","","","","","
Step Description:
Switch to List view
Check the state of the icon
Expected Result:
The star is also grey in the List view
The product was removed from wish list","","The star is also grey in the List view
The product was removed from wish list","","Switch to List view
Check the state of the icon","",""
"C410489","Icon is grey > Remove the product from the wish list in the List view","","","Medium","Add/remove product to the List from category page","0","","Add/remove product to the List from category page","","Step Description:
1. Go to category page > List view
2. Click on the colored  heart icon
3. Click the button Add to the list
4. On the popup uncheck List_1 from the 1st block


Expected Result:
1. List_1  moved to the 2nd block.
2. Check-box for the List_1 is unselected
3. The icon is grey","","1. List_1  moved to the 2nd block.
2. Check-box for the List_1 is unselected
3. The icon is grey","","1. Go to category page > List view
2. Click on the colored  heart icon
3. Click the button Add to the list
4. On the popup uncheck List_1 from the 1st block

","Automated","0"
"","","","","","","","","","","
Step Description:
Switch to the Grid view
Check the state of the icon
Expected Result:
The icon is also grey in the Grid view
The product was removed from the wish list","","The icon is also grey in the Grid view
The product was removed from the wish list","","Switch to the Grid view
Check the state of the icon","",""
"C410490","Add/Remove product to wish list from category page > Open page in different Tabs","","","Medium","Add/remove product to the List from category page","0","","Add/remove product to the List from category page","","Step Description:
Open Grid view
Click on the Star icon on the Product1 card
Select List1 > Save
Expected Result:
The product1 added to List1
The star became orange","","The product1 added to List1
The star became orange","","Open Grid view
Click on the Star icon on the Product1 card
Select List1 > Save","Automated","0"
"","","","","","","","","","","
Step Description:
Switch to the List view
Check the state of the star
Expected Result:
The Star is also orange in the List view
The product is on the wish list","","The Star is also orange in the List view
The product is on the wish list","","Switch to the List view
Check the state of the star","",""
"","","","","","","","","","","
Step Description:
Check the star in other Tabs in both the grid and list view
Expected Result:
The Star is also orange in all Tabs
The product is on the wish list","","The Star is also orange in all Tabs
The product is on the wish list","","Check the star in other Tabs in both the grid and list view","",""
