"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C407722","Main image updates based on variation (optional)","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Select Color: Green
Expected Result:
Main image updates to green","","Main image updates to green","","Select Color: Green","Other"
"C407723","Price, stock, and Add to Cart update on variation selection","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Select Color, size, fabric
Expected Result:
Price/stock update; Add to Cart enabled","","Price/stock update; Add to Cart enabled","","Select Color, size, fabric","Other"
"C407724","Add selected variation to cart","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Select all options and click Add to Cart
Expected Result:
Product added with correct variation","","Product added with correct variation","","Select all options and click Add to Cart","Other"
"C407725","Cannot add to cart until all options selected","https://virtowayqa.testrail.io/index.php?/attachments/get/1000005383","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Select only one option
Expected Result:
Add to Cart disabled or error shown

 ![](index.php?/attachments/get/1000005383) 
","","Add to Cart disabled or error shown

 ![](index.php?/attachments/get/1000005383) 
","","Select only one option","Other"
"C407726","Handle variation out of stock before Add to Cart","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Variation becomes OOS before add
Expected Result:
Error shown or selection reset","","Error shown or selection reset","","Variation becomes OOS before add","Other"
"C407727","Handle max variation count (150) gracefully","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Load product with 150 variations
Expected Result:
Matrix loads efficiently","","Matrix loads efficiently","","Load product with 150 variations","Other"
"C407728","Matrix builds with multiple properties","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Product with 5 properties x 10 values
Expected Result:
Matrix builds correctly","","Matrix builds correctly","","Product with 5 properties x 10 values","Other"
"C389586","Variation > Visible = off","","","Medium","Unavailable product variation","2","","Product details page > Variations  (Desktop+Mobile) > Unavailable product variation","","Step Description:
Go to Category page &gt; Find Product_1 card
View the number of variations


Expected Result:
The number of variations is decreased by 1","","The number of variations is decreased by 1","","Go to Category page &gt; Find Product_1 card
View the number of variations

","Other"
"","","","","","","","","","","
Step Description:
1. Open the product page


Expected Result:
The product Variation_1 is no longer displayed
Only Variation_2 presented on the Product page","","The product Variation_1 is no longer displayed
Only Variation_2 presented on the Product page","","1. Open the product page

",""
"C389587","The main product has 1 inactive variation","","","Medium","Unavailable product variation","2","","Product details page > Variations  (Desktop+Mobile) > Unavailable product variation","","Step Description:
Go to Category page &gt; Find Product_1 card
Pay attention on the card




Expected Result:
The product card displayed the same as for the product without variation","","The product card displayed the same as for the product without variation","","Go to Category page &gt; Find Product_1 card
Pay attention on the card



","Other"
"","","","","","","","","","","
Step Description:
1. Open the product page


Expected Result:
The product page displayed the same as for the product without variation

The product Variation_1 is no longer displayed

","","The product page displayed the same as for the product without variation

The product Variation_1 is no longer displayed

","","1. Open the product page

",""
